submission_id,dilemma_rating,both_infos,ingroup_norm,ingroup_agree,outgroup_disagree,dilemma_type
3142,4,0,1,1,1,real_dilemma
3142,2,0,1,1,1,philosophical_dilemma
3064,5,1,1,1,1,real_dilemma
3064,2,1,1,1,1,philosophical_dilemma
3063,5,1,-1,1,1,real_dilemma
3063,1,1,1,1,1,philosophical_dilemma
2987,2,0,-1,1,1,real_dilemma
2987,3,0,-1,1,1,philosophical_dilemma
2947,3,1,1,1,1,real_dilemma
2947,2,1,1,1,1,philosophical_dilemma
2937,4,0,1,1,1,real_dilemma
2937,3,0,-1,1,1,philosophical_dilemma
2932,1,1,1,1,1,real_dilemma
2932,2,1,-1,1,1,philosophical_dilemma
2931,5,1,-1,1,1,real_dilemma
2931,4,1,1,1,1,philosophical_dilemma
2930,4,0,1,1,1,real_dilemma
2930,1,0,1,1,1,philosophical_dilemma
2927,2,1,1,1,1,real_dilemma
2927,3,1,-1,1,1,philosophical_dilemma
2924,2,1,-1,1,1,real_dilemma
2924,4,1,-1,1,1,philosophical_dilemma
2922,5,0,1,1,1,real_dilemma
2922,3,0,-1,1,1,philosophical_dilemma
2920,3,0,-1,1,1,real_dilemma
2920,3,0,1,1,1,philosophical_dilemma
2919,4,1,1,1,1,real_dilemma
2919,3,1,1,1,1,philosophical_dilemma
2917,5,1,-1,1,1,real_dilemma
2917,2,1,-1,1,1,philosophical_dilemma
2916,3,1,1,1,1,real_dilemma
2916,3,1,1,1,1,philosophical_dilemma
2914,6,0,1,1,1,real_dilemma
2914,1,0,1,1,1,philosophical_dilemma
2910,6,0,-1,1,1,real_dilemma
2910,1,0,1,1,1,philosophical_dilemma
2908,4,0,1,1,1,real_dilemma
2908,3,0,1,1,1,philosophical_dilemma
2906,4,0,1,1,1,real_dilemma
2906,2,0,-1,1,1,philosophical_dilemma
2905,5,1,-1,1,1,real_dilemma
2905,1,1,1,1,1,philosophical_dilemma
2903,3,0,-1,1,1,real_dilemma
2903,1,0,-1,1,1,philosophical_dilemma
2902,1,0,1,1,1,real_dilemma
2902,1,0,1,1,1,philosophical_dilemma
2901,4,0,1,1,1,real_dilemma
2901,4,0,1,1,1,philosophical_dilemma
2898,3,0,1,1,1,real_dilemma
2898,3,0,1,1,1,philosophical_dilemma
2897,4,1,1,1,1,real_dilemma
2897,4,1,-1,1,1,philosophical_dilemma
2896,4,1,1,1,1,real_dilemma
2896,4,1,-1,1,1,philosophical_dilemma
2894,3,1,-1,1,1,real_dilemma
2894,3,1,1,1,1,philosophical_dilemma
2893,4,0,-1,0,0,real_dilemma
2893,1,0,-1,0,0,philosophical_dilemma
